City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Albany,42.6001,-73.9662,47.68,76,96,1.01,US,1635037565
Lanigan,51.8501,-105.0344,41.65,54,100,16.53,CA,1635037883
Mataura,-46.1927,168.8643,64.89,61,100,1.07,NZ,1635037710
Yellowknife,62.456,-114.3525,41.56,86,100,13.0,CA,1635037495
Pahrump,36.2083,-115.9839,73.06,36,1,1.99,US,1635037883
Mar del Plata,-38.0023,-57.5575,55.99,70,40,4.0,AR,1635037724
Hukuntsi,-24.0,21.75,57.0,61,2,14.45,BW,1635037884
Hithadhoo,-0.6,73.0833,82.67,70,100,11.97,MV,1635037758
Bubaque,11.2833,-15.8333,82.85,74,100,9.4,GW,1635037884
Atuona,-9.8,-139.0333,78.19,79,9,17.52,PF,1635037673
Adrar,20.5022,-10.0711,80.56,16,36,8.19,MR,1635037769
Grenå,56.4158,10.8783,48.42,95,100,14.05,DK,1635037885
Weligama,5.9667,80.4167,79.3,79,91,10.09,LK,1635037885
Ushuaia,-54.8,-68.3,33.46,93,90,17.27,AR,1635037483
Faanui,-16.4833,-151.75,78.51,78,88,14.18,PF,1635037704
Beringovskiy,63.05,179.3167,13.3,72,3,7.14,RU,1635037885
Bengkulu,-3.8004,102.2655,78.3,84,100,3.15,ID,1635037804
Oranjemund,-28.55,16.4333,55.87,82,0,12.1,NA,1635037886
Hermanus,-34.4187,19.2345,54.9,69,36,3.38,ZA,1635037725
Hobyo,5.3505,48.5268,78.66,80,1,7.54,SO,1635037700
Margate,51.3813,1.3862,55.9,77,11,4.0,GB,1635037885
Kapaa,22.0752,-159.319,84.18,77,40,5.01,US,1635037703
Nikolskoye,59.7035,30.7861,34.39,89,78,9.17,RU,1635037790
Makakilo City,21.3469,-158.0858,82.72,52,1,16.11,US,1635037887
Rikitea,-23.1203,-134.9692,75.0,80,100,19.13,PF,1635037701
Ponta do Sol,32.6667,-17.1,70.43,65,14,6.38,PT,1635037660
Port Shepstone,-30.7414,30.455,63.41,60,42,21.81,ZA,1635037887
Kharp,66.8014,65.8081,24.19,88,32,12.5,RU,1635037887
Forsytheganj,52.6333,29.7333,38.52,90,80,11.14,BY,1635037756
Necochea,-38.5473,-58.7368,47.03,58,0,12.53,AR,1635037776
Tual,-5.6667,132.75,84.2,75,96,13.27,ID,1635037888
Bānswāda,18.3833,77.8833,68.16,73,77,1.45,IN,1635037888
Barrow,71.2906,-156.7887,28.42,86,90,12.66,US,1635037667
Vestmannaeyjar,63.4427,-20.2734,47.23,84,100,16.26,IS,1635037889
Aklavik,68.2191,-135.0107,22.73,95,59,1.01,CA,1635037889
Vaini,-21.2,-175.2,77.16,78,20,12.66,TO,1635037747
Castro,-24.7911,-50.0119,61.83,96,100,4.59,BR,1635037688
Muros,42.7762,-9.0603,56.84,86,0,5.14,ES,1635037890
Kenai,60.5544,-151.2583,47.03,67,1,19.57,US,1635037845
Geraldton,-28.7667,114.6,76.12,56,0,1.14,AU,1635037845
Tuktoyaktuk,69.4541,-133.0374,25.63,93,94,3.31,CA,1635037799
New Norfolk,-42.7826,147.0587,54.66,73,100,1.99,AU,1635037692
Bethel,41.3712,-73.414,55.18,76,90,3.44,US,1635037832
Ahipara,-35.1667,173.1667,64.74,82,30,8.14,NZ,1635037775
Norman Wells,65.282,-126.8329,28.8,94,1,2.35,CA,1635037670
Poronaysk,49.2167,143.1167,49.53,59,0,10.54,RU,1635037748
Puerto Ayora,-0.7393,-90.3518,69.3,87,90,8.3,EC,1635037750
Harper,4.375,-7.7169,77.13,88,82,6.58,LR,1635037806
Srandakan,-7.9386,110.2506,82.56,71,14,4.54,ID,1635037891
Yushala,57.0761,64.2601,38.95,90,11,9.28,RU,1635037891
Broome,42.2506,-75.833,45.19,87,75,1.01,US,1635037828
Codrington,-38.2667,141.9667,53.08,63,100,15.28,AU,1635037661
Mount Gambier,-37.8333,140.7667,53.47,58,95,9.73,AU,1635037892
Buala,-8.145,159.5921,85.89,64,33,6.58,SB,1635037892
Bluff,-46.6,168.3333,52.7,91,100,3.27,NZ,1635037720
Kingsport,36.5484,-82.5618,60.71,77,90,0.0,US,1635037893
Mpika,-11.8343,31.4529,65.98,47,49,4.9,ZM,1635037893
Saint Paul Harbor,57.79,-152.4072,43.29,87,99,20.78,US,1635037712
Itháki,38.3642,20.7185,62.17,73,96,3.91,GR,1635037893
João Pinheiro,-17.7425,-46.1725,74.88,55,1,6.53,BR,1635037894
Härnösand,62.6323,17.9379,26.6,78,100,4.03,SE,1635037894
Richards Bay,-28.783,32.0377,67.26,73,100,18.7,ZA,1635037894
Longyearbyen,78.2186,15.6401,17.44,73,0,6.91,SJ,1635037820
Le Port,-20.9373,55.2919,75.16,91,3,11.72,RE,1635037895
Pokhara,28.2333,83.9833,62.08,68,19,5.5,NP,1635037657
Sitka,57.0531,-135.33,48.09,61,90,10.36,US,1635037699
Khovd,48.0056,91.6419,32.85,44,0,7.05,MN,1635037895
Turukhansk,65.8167,87.9833,32.4,98,100,10.94,RU,1635037823
Jamestown,42.097,-79.2353,45.01,95,90,1.01,US,1635037508
Chui,-33.6971,-53.4616,56.12,93,100,6.49,UY,1635037742
Alindao,5.0267,21.2088,68.67,96,71,1.41,CF,1635037896
Lüderitz,-26.6481,15.1594,56.61,71,0,16.96,NA,1635037777
Bull Savanna,17.8868,-77.5902,77.27,85,39,9.15,JM,1635037896
Hong Kong,22.2855,114.1577,74.25,75,24,5.01,HK,1635037751
Kudahuvadhoo,2.6708,72.8944,82.65,73,95,13.69,MV,1635037878
Coyhaique,-45.5752,-72.0662,46.35,57,75,4.61,CL,1635037696
Balyqshy,47.0667,51.8667,41.0,87,1,2.24,KZ,1635037897
Lebu,-37.6167,-73.65,49.8,93,12,6.64,CL,1635037851
Saint-Philippe,-21.3585,55.7679,74.75,84,40,13.22,RE,1635037738
Zhigansk,66.7697,123.3711,25.99,93,100,7.94,RU,1635037716
Butaritari,3.0707,172.7902,81.16,73,56,8.1,KI,1635037771
Guantánamo,20.1444,-75.2092,83.77,86,15,0.87,CU,1635037820
Cayenne,4.9333,-52.3333,78.1,90,75,0.0,GF,1635037898
Port Alfred,-33.5906,26.891,58.05,70,4,15.99,ZA,1635037753
Diego de Almagro,-26.3667,-70.05,55.42,55,0,2.28,CL,1635037898
Provideniya,64.3833,-173.3,25.54,77,100,8.43,RU,1635037789
Westport,41.1415,-73.3579,57.18,66,90,3.0,US,1635037899
Husavik,66.0449,-17.3389,39.94,96,100,4.85,IS,1635037847
Pochutla,15.7432,-96.4661,77.85,89,60,4.56,MX,1635037899
Saint Anthony,45.0205,-93.218,45.14,71,1,0.0,US,1635037900
Avarua,-21.2078,-159.775,75.25,57,75,13.8,CK,1635037622
Conceição do Araguaia,-8.2578,-49.2647,76.46,80,6,3.83,BR,1635037873
Ilulissat,69.2167,-51.1,21.22,79,90,14.97,GL,1635037635
Punta Arenas,-53.15,-70.9167,35.71,87,20,13.8,CL,1635037711
Saint George,37.1041,-113.5841,70.39,29,1,6.91,US,1635037863
Karangampel,-6.4622,108.4519,84.13,67,81,4.07,ID,1635037900
Bafatá,12.1667,-14.75,75.43,94,100,2.68,GW,1635037901
Hilo,19.7297,-155.09,85.28,68,1,9.22,US,1635037565
Karpathos,35.507,27.2132,67.96,83,0,11.5,GR,1635037901
Campoverde,-8.4753,-74.8058,85.69,54,8,4.25,PE,1635037902
Cherskiy,68.75,161.3,-3.77,99,91,4.14,RU,1635037749
Saldanha,-33.0117,17.9442,57.49,73,0,8.39,ZA,1635037690
Martinsburg,39.4562,-77.9639,56.46,75,1,4.61,US,1635037902
Santa Inês,-3.6667,-45.38,76.12,89,100,3.36,BR,1635037902
Lipin Bor,60.2622,37.9763,32.68,95,100,10.31,RU,1635037903
Chicama,-7.8447,-79.1469,59.54,78,97,6.38,PE,1635037903
Saskylakh,71.9167,114.0833,6.93,94,100,14.74,RU,1635037684
George Town,5.4112,100.3354,81.9,83,20,0.0,MY,1635037826
Isangel,-19.55,169.2667,80.71,78,75,11.5,VU,1635037904
Vagay,57.9375,69.0217,39.9,87,10,9.73,RU,1635037904
Dodge City,37.7528,-100.0171,59.25,88,1,5.75,US,1635037825
Acaraú,-2.8856,-40.12,79.9,81,99,12.93,BR,1635037904
Tasiilaq,65.6145,-37.6368,32.16,95,100,8.16,GL,1635037694
Rio Grande,-32.035,-52.0986,58.95,90,89,11.72,BR,1635037823
Ribeira Grande,38.5167,-28.7,67.35,63,29,11.77,PT,1635037740
Strai,58.2,7.9,52.63,87,90,6.91,NO,1635037905
Esperance,-33.8667,121.9,67.26,44,2,16.44,AU,1635037867
Guerrero Negro,27.9769,-114.0611,67.28,76,0,17.25,MX,1635037713
Te Anau,-45.4167,167.7167,57.36,78,100,2.06,NZ,1635037820
Chokurdakh,70.6333,147.9167,-2.04,97,100,6.49,RU,1635037795
Luganville,-15.5333,167.1667,83.52,73,38,8.43,VU,1635037906
Morón,-34.6534,-58.6198,64.96,53,0,8.01,AR,1635037906
Klaksvík,62.2266,-6.589,49.12,87,100,14.85,FO,1635037906
Moundou,8.5667,16.0833,71.69,93,100,3.47,TD,1635037907
Caravelas,-17.7125,-39.2481,75.31,83,100,4.0,BR,1635037907
Santa Maria,-29.6842,-53.8069,59.52,98,54,7.49,BR,1635037907
Port Elizabeth,-33.918,25.5701,57.9,64,1,12.46,ZA,1635037647
Fort Nelson,58.8053,-122.7002,42.91,81,100,6.04,CA,1635037702
Mago,53.2514,140.1822,41.7,74,8,7.94,RU,1635037908
